,category,word,segmentation,prediction,distance,overlaps,f1v2_tp,f1v2_fp,f1v2_fn,f1v3_tp,f1v3_fp,f1v3_fn
5732,_000,llamah,llamah,ll @@ama @@h,2,0,0,3,1,0,2,1
5733,_000,llano,llano,ll @@ano,1,0,0,2,1,0,1,1
5734,_000,loath,loath,lo @@ath,1,0,0,2,1,0,1,1
5735,_000,lobe,lobe,lobe,0,1,1,0,0,1,0,0
5736,_000,lobeline,lobeline,lobe @@line,1,0,0,2,1,0,1,1
5737,_000,lobopod,lobopod,lo @@bo @@pod,2,0,0,3,1,0,2,1
5738,_000,lobucavir,lobucavir,lo @@bu @@ca @@vir,3,0,0,4,1,0,3,1
5739,_000,lobuloalveolar,lobuloalveolar,lo @@bu @@lo @@al @@ve @@olar,5,0,0,6,1,0,5,1
5740,_000,lochia,lochia,loch @@ia,1,0,0,2,1,0,1,1
5741,_000,loculicidal,loculicidal,lo @@cu @@lic @@idal,3,0,0,4,1,0,3,1
5742,_000,locura,locura,lo @@cu @@ra,2,0,0,3,1,0,2,1
5743,_000,lodestone,lodestone,lo @@des @@tone,2,0,0,3,1,0,2,1
5744,_000,lofe,lofe,lo @@fe,1,0,0,2,1,0,1,1
5745,_000,lofendazam,lofendazam,lo @@fen @@da @@zam,3,0,0,4,1,0,3,1
5746,_000,loff,loff,lo @@ff,1,0,0,2,1,0,1,1
5747,_000,logania,logania,logan @@ia,1,0,0,2,1,0,1,1
5748,_000,logion,logion,log @@ion,1,0,0,2,1,0,1,1
5749,_000,logistic,logistic,log @@istic,1,0,0,2,1,0,1,1
5750,_000,lokao,lokao,lok @@ao,1,0,0,2,1,0,1,1
5751,_000,lollypaloozer,lollypaloozer,lo @@lly @@pal @@oo @@zer,4,0,0,5,1,0,4,1
5752,_000,lolot,lolot,lo @@lot,1,0,0,2,1,0,1,1
5753,_000,longeron,longeron,longer @@on,1,0,0,2,1,0,1,1
5754,_000,longipennate,longipennate,long @@ipe @@nna @@te,3,0,0,4,1,0,3,1
5755,_000,longipin,longipin,long @@ip @@in,2,0,0,3,1,0,2,1
5756,_000,longiroster,longiroster,long @@iro @@ster,2,0,0,3,1,0,2,1
5757,_000,longliver,longliver,long @@li @@ver,2,0,0,3,1,0,2,1
5758,_000,longyi,longyi,long @@yi,1,0,0,2,1,0,1,1
5759,_000,lootie,lootie,lo @@ot @@ie,2,0,0,3,1,0,2,1
5760,_000,lop,lop,lo @@p,1,0,0,2,1,0,1,1
5761,_000,loresman,loresman,lore @@sman,1,0,0,2,1,0,1,1
5762,_000,lorication,lorication,lori @@cation,1,0,0,2,1,0,1,1
5763,_000,loseyite,loseyite,lose @@yi @@te,2,0,0,3,1,0,2,1
5764,_000,lotte,lotte,lot @@te,1,0,0,2,1,0,1,1
5765,_000,loture,loture,lot @@ure,1,0,0,2,1,0,1,1
5766,_000,lounder,lounder,lou @@nder,1,0,0,2,1,0,1,1
5767,_000,lountza,lountza,lou @@nt @@za,2,0,0,3,1,0,2,1
5768,_000,lout,lout,lou @@t,1,0,0,2,1,0,1,1
5769,_000,lovdarite,lovdarite,lo @@vd @@ari @@te,3,0,0,4,1,0,3,1
5770,_000,lox,lox,lo @@x,1,0,0,2,1,0,1,1
5771,_000,loxodromy,loxodromy,lo @@x @@od @@rom @@y,4,0,0,5,1,0,4,1
5772,_000,loxoscelism,loxoscelism,lo @@x @@os @@cel @@ism,4,0,0,5,1,0,4,1
5773,_000,lubber,lubber,lu @@bber,1,0,0,2,1,0,1,1
5774,_000,lucentamycin,lucentamycin,luce @@nta @@my @@cin,3,0,0,4,1,0,3,1
5775,_000,lucumo,lucumo,luc @@um @@o,2,0,0,3,1,0,2,1
5776,_000,lude,lude,lu @@de,1,0,0,2,1,0,1,1
5777,_000,ludibund,ludibund,lu @@di @@bund,2,0,0,3,1,0,2,1
5778,_000,ludlamite,ludlamite,lu @@dl @@ami @@te,3,0,0,4,1,0,3,1
5779,_000,ludlockite,ludlockite,lu @@dl @@ock @@ite,3,0,0,4,1,0,3,1
5780,_000,ludophilia,ludophilia,lu @@do @@phi @@lia,3,0,0,4,1,0,3,1
5781,_000,lukast,lukast,lukas @@t,1,0,0,2,1,0,1,1
5782,_000,lukuchuko,lukuchuko,lu @@ku @@chuk @@o,3,0,0,4,1,0,3,1
5783,_000,luliconazole,luliconazole,lu @@lic @@ona @@zo @@le,4,0,0,5,1,0,4,1
5784,_000,lumachellic,lumachellic,lu @@mac @@hell @@ic,3,0,0,4,1,0,3,1
5785,_000,lumbang,lumbang,lu @@mba @@ng,2,0,0,3,1,0,2,1
5786,_000,lumbar,lumbar,lu @@mba @@r,2,0,0,3,1,0,2,1
5787,_000,lumpkin,lumpkin,lump @@kin,1,0,0,2,1,0,1,1
5788,_000,luna,luna,luna,0,1,1,0,0,1,0,0
5789,_000,lung,lung,lung,0,1,1,0,0,1,0,0
5790,_000,lunistice,lunistice,lu @@nist @@ice,2,0,0,3,1,0,2,1
5791,_000,lunule,lunule,lu @@nu @@le,2,0,0,3,1,0,2,1
5792,_000,lustrical,lustrical,lust @@rica @@l,2,0,0,3,1,0,2,1
5793,_000,lustrum,lustrum,lust @@rum,1,0,0,2,1,0,1,1
5794,_000,lusupultide,lusupultide,lu @@su @@pu @@lt @@ide,4,0,0,5,1,0,4,1
5795,_000,luth,luth,lu @@th,1,0,0,2,1,0,1,1
5796,_000,lutz,lutz,lu @@tz,1,0,0,2,1,0,1,1
5797,_000,lycopene,lycopene,l @@y @@cope @@ne,3,0,0,4,1,0,3,1
5798,_000,lydion,lydion,l @@yd @@ion,2,0,0,3,1,0,2,1
5799,_000,lymph,lymph,l @@ym @@ph,2,0,0,3,1,0,2,1
5800,_000,lymphadenitis,lymphadenitis,l @@ym @@pha @@den @@itis,4,0,0,5,1,0,4,1
5801,_000,lyonia,lyonia,lyon @@ia,1,0,0,2,1,0,1,1
5802,_000,lyonsite,lyonsite,lyons @@ite,1,0,0,2,1,0,1,1
5803,_000,lyrie,lyrie,l @@yr @@ie,2,0,0,3,1,0,2,1
5804,_000,lyse,lyse,l @@yse,1,0,0,2,1,0,1,1
5805,_000,lysergide,lysergide,l @@yse @@rg @@ide,3,0,0,4,1,0,3,1
5806,_000,lúcuma,lúcuma,luc @@uma,2,0,0,2,1,0,1,1
5807,_000,macaco,macaco,mac @@aco,1,0,0,2,1,0,1,1
5808,_000,macadam,macadam,mac @@ada @@m,2,0,0,3,1,0,2,1
5809,_000,macahuitl,macahuitl,mac @@ahu @@it @@l,3,0,0,4,1,0,3,1
5810,_000,macaron,macaron,mac @@aro @@n,2,0,0,3,1,0,2,1
5811,_000,macchi,macchi,mac @@chi,1,0,0,2,1,0,1,1
5812,_000,macchiato,macchiato,mac @@chia @@to,2,0,0,3,1,0,2,1
5813,_000,mache,mache,mach @@e,1,0,0,2,1,0,1,1
5814,_000,macho,macho,mach @@o,1,0,0,2,1,0,1,1
5815,_000,mackerel,mackerel,mack @@ere @@l,2,0,0,3,1,0,2,1
5816,_000,macquartite,macquartite,mac @@qua @@rti @@te,3,0,0,4,1,0,3,1
5817,_000,macramé,macramé,mac @@ram @@e,3,0,0,3,1,0,2,1
5818,_000,macrodasyidan,macrodasyidan,macro @@das @@yi @@dan,3,0,0,4,1,0,3,1
5819,_000,macropine,macropine,macro @@pine,1,0,0,2,1,0,1,1
5820,_000,macule,macule,mac @@ule,1,0,0,2,1,0,1,1
5821,_000,madam,madam,madam,0,1,1,0,0,1,0,0
5822,_000,madapollam,madapollam,mad @@ap @@oll @@am,3,0,0,4,1,0,3,1
5823,_000,madarosis,madarosis,mad @@aro @@sis,2,0,0,3,1,0,2,1
5824,_000,madeleine,madeleine,madeleine,0,1,1,0,0,1,0,0
5825,_000,madrono,madrono,mad @@ron @@o,2,0,0,3,1,0,2,1
5826,_000,maechi,maechi,mae @@chi,1,0,0,2,1,0,1,1
5827,_000,maenor,maenor,mae @@nor,1,0,0,2,1,0,1,1
5828,_000,maftir,maftir,ma @@ft @@ir,2,0,0,3,1,0,2,1
5829,_000,mag,mag,mag,0,1,1,0,0,1,0,0
5830,_000,magicienne,magicienne,magic @@ien @@ne,2,0,0,3,1,0,2,1
5831,_000,magmatic,magmatic,magma @@tic,1,0,0,2,1,0,1,1
5832,_000,magnality,magnality,magna @@lity,1,0,0,2,1,0,1,1
5833,_000,magnecule,magnecule,mag @@ne @@cule,2,0,0,3,1,0,2,1
5834,_000,magnesiotaramite,magnesiotaramite,mag @@nes @@iot @@ara @@mite,4,0,0,5,1,0,4,1
5835,_000,magnitizdat,magnitizdat,mag @@ni @@ti @@zd @@at,4,0,0,5,1,0,4,1
5836,_000,magnorder,magnorder,mag @@nor @@der,2,0,0,3,1,0,2,1
5837,_000,magnox,magnox,mag @@no @@x,2,0,0,3,1,0,2,1
5838,_000,magsman,magsman,mag @@sman,1,0,0,2,1,0,1,1
5839,_000,maharishi,maharishi,maha @@rish @@i,2,0,0,3,1,0,2,1
5840,_000,mahuang,mahuang,ma @@hua @@ng,2,0,0,3,1,0,2,1
5841,_000,maim,maim,mai @@m,1,0,0,2,1,0,1,1
5842,_000,maindeck,maindeck,main @@deck,1,0,0,2,1,0,1,1
5843,_000,majorant,majorant,major @@ant,1,0,0,2,1,0,1,1
5844,_000,majoun,majoun,maj @@oun,1,0,0,2,1,0,1,1
5845,_000,makhana,makhana,ma @@khan @@a,2,0,0,3,1,0,2,1
5846,_000,makisu,makisu,ma @@kis @@u,2,0,0,3,1,0,2,1
5847,_000,maknoon,maknoon,ma @@k @@no @@on,3,0,0,4,1,0,3,1
5848,_000,makossa,makossa,ma @@kos @@sa,2,0,0,3,1,0,2,1
5849,_000,malacia,malacia,mala @@cia,1,0,0,2,1,0,1,1
5850,_000,malacissant,malacissant,mala @@cis @@sant,2,0,0,3,1,0,2,1
5851,_000,malacophyllous,malacophyllous,mala @@co @@phy @@llo @@us,4,0,0,5,1,0,4,1
5852,_000,malarpicine,malarpicine,mala @@rp @@ici @@ne,3,0,0,4,1,0,3,1
5853,_000,maledicent,maledicent,male @@dice @@nt,2,0,0,3,1,0,2,1
5854,_000,mali,mali,mali,0,1,1,0,0,1,0,0
5855,_000,malicho,malicho,mali @@cho,1,0,0,2,1,0,1,1
5856,_000,malign,malign,mali @@gn,1,0,0,2,1,0,1,1
5857,_000,mallardite,mallardite,mall @@ard @@ite,2,0,0,3,1,0,2,1
5858,_000,malmag,malmag,mal @@ma @@g,2,0,0,3,1,0,2,1
5859,_000,malocchio,malocchio,mal @@oc @@chio,2,0,0,3,1,0,2,1
5860,_000,malossol,malossol,mal @@oss @@ol,2,0,0,3,1,0,2,1
5861,_000,maltheism,maltheism,mal @@the @@ism,2,0,0,3,1,0,2,1
5862,_000,malunggay,malunggay,mal @@ung @@ga @@y,3,0,0,4,1,0,3,1
5863,_000,malvasia,malvasia,mal @@vas @@ia,2,0,0,3,1,0,2,1
5864,_000,mamma,mamma,ma @@mma,1,0,0,2,1,0,1,1
5865,_000,mammothite,mammothite,mammoth @@ite,1,0,0,2,1,0,1,1
5866,_000,mamoncillo,mamoncillo,ma @@mon @@ci @@llo,3,0,0,4,1,0,3,1
5867,_000,mamushi,mamushi,ma @@mus @@hi,2,0,0,3,1,0,2,1
5868,_000,manakish,manakish,mana @@kis @@h,2,0,0,3,1,0,2,1
5869,_000,mancude,mancude,man @@cu @@de,2,0,0,3,1,0,2,1
5870,_000,mandarin,mandarin,mandarin,0,1,1,0,0,1,0,0
5871,_000,mandrel,mandrel,man @@dre @@l,2,0,0,3,1,0,2,1
5872,_000,mandrill,mandrill,man @@dr @@ill,2,0,0,3,1,0,2,1
5873,_000,manducate,manducate,man @@du @@cate,2,0,0,3,1,0,2,1
5874,_000,manet,manet,mane @@t,1,0,0,2,1,0,1,1
5875,_000,mangaka,mangaka,manga @@ka,1,0,0,2,1,0,1,1
5876,_000,mangosteen,mangosteen,mango @@ste @@en,2,0,0,3,1,0,2,1
5877,_000,manhaul,manhaul,man @@ha @@ul,2,0,0,3,1,0,2,1
5878,_000,mania,mania,mania,0,1,1,0,0,1,0,0
5879,_000,manille,manille,mani @@lle,1,0,0,2,1,0,1,1
5880,_000,maninose,maninose,mani @@nos @@e,2,0,0,3,1,0,2,1
5881,_000,manjack,manjack,man @@jack,1,0,0,2,1,0,1,1
5882,_000,manji,manji,man @@ji,1,0,0,2,1,0,1,1
5883,_000,mannan,mannan,mann @@an,1,0,0,2,1,0,1,1
5884,_000,manoao,manoao,man @@oa @@o,2,0,0,3,1,0,2,1
5885,_000,manograph,manograph,man @@og @@raph,2,0,0,3,1,0,2,1
5886,_000,manpage,manpage,man @@page,1,0,0,2,1,0,1,1
5887,_000,mantel,mantel,man @@tel,1,0,0,2,1,0,1,1
5888,_000,mantellone,mantellone,man @@tell @@one,2,0,0,3,1,0,2,1
5889,_000,mantissa,mantissa,man @@tis @@sa,2,0,0,3,1,0,2,1
5890,_000,mantlet,mantlet,mantle @@t,1,0,0,2,1,0,1,1
5891,_000,mantou,mantou,man @@tou,1,0,0,2,1,0,1,1
5892,_000,manufactory,manufactory,man @@uf @@act @@ory,3,0,0,4,1,0,3,1
5893,_000,manuhiri,manuhiri,man @@uh @@iri,2,0,0,3,1,0,2,1
5894,_000,marabou,marabou,mara @@bo @@u,2,0,0,3,1,0,2,1
5895,_000,mardarse,mardarse,mar @@dar @@se,2,0,0,3,1,0,2,1
5896,_000,marginalia,marginalia,marginal @@ia,1,0,0,2,1,0,1,1
5897,_000,marginate,marginate,margin @@ate,1,0,0,2,1,0,1,1
5898,_000,margo,margo,mar @@go,1,0,0,2,1,0,1,1
5899,_000,marguerite,marguerite,marguerite,0,1,1,0,0,1,0,0
5900,_000,mariachi,mariachi,maria @@chi,1,0,0,2,1,0,1,1
5901,_000,maricon,maricon,mari @@con,1,0,0,2,1,0,1,1
5902,_000,marinobufagin,marinobufagin,marino @@bu @@fa @@gin,3,0,0,4,1,0,3,1
5903,_000,marinobufotoxin,marinobufotoxin,marino @@bu @@fo @@to @@xin,4,0,0,5,1,0,4,1
5904,_000,mariput,mariput,mari @@put,1,0,0,2,1,0,1,1
5905,_000,markswoman,markswoman,marks @@woman,1,0,0,2,1,0,1,1
5906,_000,marmalade,marmalade,mar @@mal @@ade,2,0,0,3,1,0,2,1
5907,_000,marmorosis,marmorosis,mar @@mo @@rosis,2,0,0,3,1,0,2,1
5908,_000,marsturite,marsturite,mars @@tur @@ite,2,0,0,3,1,0,2,1
5909,_000,marteline,marteline,mart @@elin @@e,2,0,0,3,1,0,2,1
5910,_000,martyr,martyr,martyr,0,1,1,0,0,1,0,0
5911,_000,marzipan,marzipan,mar @@zi @@pan,2,0,0,3,1,0,2,1
5912,_000,masculine,masculine,masculine,0,1,1,0,0,1,0,0
5913,_000,massymore,massymore,mass @@ym @@ore,2,0,0,3,1,0,2,1
5914,_000,mast,mast,mast,0,1,1,0,0,1,0,0
5915,_000,mastocyte,mastocyte,mast @@oc @@yte,2,0,0,3,1,0,2,1
5916,_000,matanza,matanza,mata @@nza,1,0,0,2,1,0,1,1
5917,_000,match,match,match,0,1,1,0,0,1,0,0
5918,_000,mate,mate,mate,0,1,1,0,0,1,0,0
5919,_000,mateotechny,mateotechny,mateo @@tech @@ny,2,0,0,3,1,0,2,1
5920,_000,mathom,mathom,math @@om,1,0,0,2,1,0,1,1
5921,_000,matoppie,matoppie,mat @@op @@pie,2,0,0,3,1,0,2,1
5922,_000,matryoshka,matryoshka,mat @@ry @@osh @@ka,3,0,0,4,1,0,3,1
5923,_000,matsuri,matsuri,mats @@uri,1,0,0,2,1,0,1,1
5924,_000,mattock,mattock,matt @@ock,1,0,0,2,1,0,1,1
5925,_000,matutine,matutine,mat @@uti @@ne,2,0,0,3,1,0,2,1
5926,_000,matzoh,matzoh,mat @@zo @@h,2,0,0,3,1,0,2,1
5927,_000,maundril,maundril,ma @@und @@ril,2,0,0,3,1,0,2,1
5928,_000,mausoleum,mausoleum,mausoleum,0,1,1,0,0,1,0,0
5929,_000,maven,maven,ma @@ven,1,0,0,2,1,0,1,1
5930,_000,mazamorra,mazamorra,ma @@zam @@orra,2,0,0,3,1,0,2,1
5931,_000,mazer,mazer,maze @@r,1,0,0,2,1,0,1,1
5932,_000,mazurka,mazurka,ma @@zu @@rka,2,0,0,3,1,0,2,1
5933,_000,mazzebah,mazzebah,ma @@zz @@eb @@ah,3,0,0,4,1,0,3,1
5934,_000,mease,mease,me @@ase,1,0,0,2,1,0,1,1
5935,_000,mebezonium,mebezonium,me @@be @@zon @@ium,3,0,0,4,1,0,3,1
5936,_000,mebos,mebos,me @@bos,1,0,0,2,1,0,1,1
5937,_000,mecamylamine,mecamylamine,me @@cam @@yla @@mine,3,0,0,4,1,0,3,1
5938,_000,mechanism,mechanism,mechanism,0,1,1,0,0,1,0,0
5939,_000,mecon,mecon,me @@con,1,0,0,2,1,0,1,1
5940,_000,mecoprop,mecoprop,me @@co @@pro @@p,3,0,0,4,1,0,3,1
5941,_000,medaillon,medaillon,med @@ail @@lon,2,0,0,3,1,0,2,1
5942,_000,medal,medal,medal,0,1,1,0,0,1,0,0
5943,_000,meditate,meditate,med @@itate,1,0,0,2,1,0,1,1
5944,_000,mediævalistic,mediævalistic,med @@i @@Ã¦ @@val @@istic,6,0,0,5,1,0,4,1
5945,_000,medley,medley,medley,0,1,1,0,0,1,0,0
5946,_000,medorinone,medorinone,med @@orin @@one,2,0,0,3,1,0,2,1
5947,_000,medrick,medrick,med @@rick,1,0,0,2,1,0,1,1
5948,_000,megalocytivirus,megalocytivirus,mega @@lo @@cy @@tiv @@irus,4,0,0,5,1,0,4,1
5949,_000,meglitinide,meglitinide,meg @@lit @@ini @@de,3,0,0,4,1,0,3,1
5950,_000,melanocomous,melanocomous,mel @@ano @@com @@ous,3,0,0,4,1,0,3,1
5951,_000,melanophlogite,melanophlogite,mel @@ano @@ph @@log @@ite,4,0,0,5,1,0,4,1
5952,_000,melenite,melenite,mel @@eni @@te,2,0,0,3,1,0,2,1
5953,_000,melilot,melilot,mel @@ilo @@t,2,0,0,3,1,0,2,1
5954,_000,meliphanite,meliphanite,mel @@ip @@hani @@te,3,0,0,4,1,0,3,1
5955,_000,melissylene,melissylene,mel @@iss @@yle @@ne,3,0,0,4,1,0,3,1
5956,_000,melleous,melleous,mel @@le @@ous,2,0,0,3,1,0,2,1
5957,_000,mem,mem,me @@m,1,0,0,2,1,0,1,1
5958,_000,memorable,memorable,memorable,0,1,1,0,0,1,0,0
5959,_000,memorate,memorate,memo @@rate,1,0,0,2,1,0,1,1
5960,_000,mendicity,mendicity,men @@dic @@ity,2,0,0,3,1,0,2,1
5961,_000,menhaden,menhaden,men @@had @@en,2,0,0,3,1,0,2,1
5962,_000,menobranch,menobranch,men @@ob @@ran @@ch,3,0,0,4,1,0,3,1
5963,_000,menstrual,menstrual,men @@st @@ru @@al,3,0,0,4,1,0,3,1
5964,_000,menstruous,menstruous,men @@st @@ru @@ous,3,0,0,4,1,0,3,1
5965,_000,menuetto,menuetto,menu @@etto,1,0,0,2,1,0,1,1
5966,_000,mepiprazole,mepiprazole,me @@pi @@pr @@az @@ole,4,0,0,5,1,0,4,1
5967,_000,mepivacaine,mepivacaine,me @@pi @@vac @@aine,3,0,0,4,1,0,3,1
5968,_000,mepolizumab,mepolizumab,me @@pol @@iz @@uma @@b,4,0,0,5,1,0,4,1
5969,_000,mercatante,mercatante,mer @@cat @@ante,2,0,0,3,1,0,2,1
5970,_000,merciable,merciable,mer @@cia @@ble,2,0,0,3,1,0,2,1
5971,_000,merengue,merengue,mere @@ng @@ue,2,0,0,3,1,0,2,1
5972,_000,meretricious,meretricious,mere @@tric @@ious,2,0,0,3,1,0,2,1
5973,_000,merge,merge,merge,0,1,1,0,0,1,0,0
5974,_000,meridional,meridional,mer @@idi @@onal,2,0,0,3,1,0,2,1
5975,_000,meseta,meseta,me @@set @@a,2,0,0,3,1,0,2,1
5976,_000,meshuggener,meshuggener,mesh @@ug @@gen @@er,3,0,0,4,1,0,3,1
5977,_000,mesmerism,mesmerism,me @@sm @@eri @@sm,3,0,0,4,1,0,3,1
5978,_000,mesodiplosis,mesodiplosis,me @@so @@di @@pl @@osis,4,0,0,5,1,0,4,1
5979,_000,mesogaster,mesogaster,me @@so @@gas @@ter,3,0,0,4,1,0,3,1
5980,_000,mesoglea,mesoglea,me @@so @@gle @@a,3,0,0,4,1,0,3,1
5981,_000,mesoridazine,mesoridazine,me @@sor @@ida @@zine,3,0,0,4,1,0,3,1
5982,_000,mesozoan,mesozoan,me @@so @@zo @@an,3,0,0,4,1,0,3,1
5983,_000,mespilus,mespilus,me @@sp @@il @@us,3,0,0,4,1,0,3,1
5984,_000,messuage,messuage,mess @@ua @@ge,2,0,0,3,1,0,2,1
5985,_000,metabletics,metabletics,meta @@ble @@tics,2,0,0,3,1,0,2,1
5986,_000,metalimnion,metalimnion,metal @@im @@nio @@n,3,0,0,4,1,0,3,1
5987,_000,metalliform,metalliform,metal @@li @@form,2,0,0,3,1,0,2,1
5988,_000,metaphasis,metaphasis,meta @@pha @@sis,2,0,0,3,1,0,2,1
5989,_000,metaphrase,metaphrase,meta @@ph @@rase,2,0,0,3,1,0,2,1
5990,_000,metaplast,metaplast,meta @@pl @@ast,2,0,0,3,1,0,2,1
5991,_000,metastoma,metastoma,meta @@sto @@ma,2,0,0,3,1,0,2,1
5992,_000,methanogenetic,methanogenetic,met @@han @@ogen @@etic,3,0,0,4,1,0,3,1
5993,_000,methohexital,methohexital,met @@ho @@he @@xi @@tal,4,0,0,5,1,0,4,1
5994,_000,methotrexate,methotrexate,met @@hot @@re @@xa @@te,4,0,0,5,1,0,4,1
5995,_000,methylene,methylene,methyl @@ene,1,0,0,2,1,0,1,1
5996,_000,metical,metical,met @@ical,1,0,0,2,1,0,1,1
5997,_000,metoprolol,metoprolol,met @@op @@rol @@ol,3,0,0,4,1,0,3,1
5998,_000,mewl,mewl,me @@wl,1,0,0,2,1,0,1,1
5999,_000,mexoticin,mexoticin,me @@x @@otic @@in,3,0,0,4,1,0,3,1
6000,_000,mexxy,mexxy,me @@xx @@y,2,0,0,3,1,0,2,1
6001,_000,micacious,micacious,mic @@acious,1,0,0,2,1,0,1,1
6002,_000,microneedling,microneedling,micro @@nee @@dling,2,0,0,3,1,0,2,1
6003,_000,micropsia,micropsia,micro @@ps @@ia,2,0,0,3,1,0,2,1
6004,_000,microseme,microseme,micro @@se @@me,2,0,0,3,1,0,2,1
6005,_000,micturate,micturate,mic @@tura @@te,2,0,0,3,1,0,2,1
6006,_000,midst,midst,midst,0,1,1,0,0,1,0,0
6007,_000,mieskeit,mieskeit,mi @@es @@kei @@t,3,0,0,4,1,0,3,1
6008,_000,mignon,mignon,mig @@non,1,0,0,2,1,0,1,1
6009,_000,mikado,mikado,mika @@do,1,0,0,2,1,0,1,1
6010,_000,miladdo,miladdo,mil @@ad @@do,2,0,0,3,1,0,2,1
6011,_000,miliarense,miliarense,mil @@ia @@ren @@se,3,0,0,4,1,0,3,1
6012,_000,millime,millime,mill @@ime,1,0,0,2,1,0,1,1
6013,_000,millisite,millisite,mill @@isi @@te,2,0,0,3,1,0,2,1
6014,_000,mim,mim,mi @@m,1,0,0,2,1,0,1,1
6015,_000,mimetite,mimetite,mi @@met @@ite,2,0,0,3,1,0,2,1
6016,_000,mimiamb,mimiamb,mimi @@am @@b,2,0,0,3,1,0,2,1
6017,_000,mimp,mimp,mi @@mp,1,0,0,2,1,0,1,1
6018,_000,mimulus,mimulus,mi @@mu @@lus,2,0,0,3,1,0,2,1
6019,_000,minah,minah,mina @@h,1,0,0,2,1,0,1,1
6020,_000,minakari,minakari,mina @@kari,1,0,0,2,1,0,1,1
6021,_000,minasragrite,minasragrite,minas @@rag @@rite,2,0,0,3,1,0,2,1
6022,_000,minaudière,minaudière,mina @@udi @@ere,3,0,0,3,1,0,2,1
6023,_000,minbar,minbar,min @@bar,1,0,0,2,1,0,1,1
6024,_000,minch,minch,min @@ch,1,0,0,2,1,0,1,1
6025,_000,minenwerfer,minenwerfer,mine @@n @@wer @@fer,3,0,0,4,1,0,3,1
6026,_000,minerology,minerology,miner @@ology,1,0,0,2,1,0,1,1
6027,_000,minga,minga,ming @@a,1,0,0,2,1,0,1,1
6028,_000,minhag,minhag,minh @@ag,1,0,0,2,1,0,1,1
6029,_000,minim,minim,mini @@m,1,0,0,2,1,0,1,1
6030,_000,mink,mink,min @@k,1,0,0,2,1,0,1,1
6031,_000,minuano,minuano,min @@uan @@o,2,0,0,3,1,0,2,1
6032,_000,minyulite,minyulite,min @@yu @@lite,2,0,0,3,1,0,2,1
6033,_000,miproxifene,miproxifene,mi @@pro @@xi @@fen @@e,4,0,0,5,1,0,4,1
6034,_000,miration,miration,mira @@tion,1,0,0,2,1,0,1,1
6035,_000,mirific,mirific,mir @@ific,1,0,0,2,1,0,1,1
6036,_000,mirorder,mirorder,mir @@ord @@er,2,0,0,3,1,0,2,1
6037,_000,miryachit,miryachit,mir @@ya @@chi @@t,3,0,0,4,1,0,3,1
6038,_000,miscegenate,miscegenate,mis @@ce @@gen @@ate,3,0,0,4,1,0,3,1
6039,_000,mischief,mischief,mischief,0,1,1,0,0,1,0,0
6040,_000,miscreant,miscreant,mis @@cre @@ant,2,0,0,3,1,0,2,1
6041,_000,misprize,misprize,mis @@pr @@ize,2,0,0,3,1,0,2,1
6042,_000,misseldine,misseldine,miss @@eld @@ine,2,0,0,3,1,0,2,1
6043,_000,missile,missile,missile,0,1,1,0,0,1,0,0
6044,_000,missive,missive,miss @@ive,1,0,0,2,1,0,1,1
6045,_000,mist,mist,mist,0,1,1,0,0,1,0,0
6046,_000,mistigri,mistigri,mist @@ig @@ri,2,0,0,3,1,0,2,1
6047,_000,mithridatic,mithridatic,mit @@hri @@da @@tic,3,0,0,4,1,0,3,1
6048,_000,mithridatism,mithridatism,mit @@hri @@da @@tism,3,0,0,4,1,0,3,1
6049,_000,mitryaevaite,mitryaevaite,mit @@rya @@eva @@ite,3,0,0,4,1,0,3,1
6050,_000,mittimus,mittimus,mit @@ti @@mus,2,0,0,3,1,0,2,1
6051,_000,mixte,mixte,mix @@te,1,0,0,2,1,0,1,1
6052,_000,mixtion,mixtion,mix @@tion,1,0,0,2,1,0,1,1
6053,_000,moan,moan,moan,0,1,1,0,0,1,0,0
6054,_000,mobey,mobey,mob @@ey,1,0,0,2,1,0,1,1
6055,_000,mobisquad,mobisquad,mob @@is @@qua @@d,3,0,0,4,1,0,3,1
6056,_000,mocha,mocha,mo @@cha,1,0,0,2,1,0,1,1
6057,_000,mochras,mochras,mo @@ch @@ras,2,0,0,3,1,0,2,1
6058,_000,modal,modal,mod @@al,1,0,0,2,1,0,1,1
6059,_000,modalize,modalize,mod @@ali @@ze,2,0,0,3,1,0,2,1
6060,_000,modaraba,modaraba,mod @@ara @@ba,2,0,0,3,1,0,2,1
6061,_000,modillion,modillion,mod @@ill @@ion,2,0,0,3,1,0,2,1
6062,_000,moegoe,moegoe,moe @@go @@e,2,0,0,3,1,0,2,1
6063,_000,moellon,moellon,moe @@llon,1,0,0,2,1,0,1,1
6064,_000,mofo,mofo,mo @@fo,1,0,0,2,1,0,1,1
6065,_000,moho,moho,mo @@ho,1,0,0,2,1,0,1,1
6066,_000,mokusatsu,mokusatsu,mo @@kus @@ats @@u,3,0,0,4,1,0,3,1
6067,_000,mollemoke,mollemoke,mo @@lle @@mo @@ke,3,0,0,4,1,0,3,1
6068,_000,moluranite,moluranite,mo @@lu @@rani @@te,3,0,0,4,1,0,3,1
6069,_000,molybdomancy,molybdomancy,mo @@ly @@b @@dom @@ancy,4,0,0,5,1,0,4,1
6070,_000,momentaneous,momentaneous,moment @@aneous,1,0,0,2,1,0,1,1
